DIA;HORA;TEMPERATURA °C;POTENCIA MW 2022
01/01/2022;22:00;32,6;758
02/01/2022;23:30;38;829
03/01/2022;17:30;37,1;1010
04/01/2022;17:00;34,2;994
05/01/2022;17:00;34,5;970
06/01/2022;14:00;35,6;997
07/01/2022;17:00;33,9;921
08/01/2022;15:00;37,8;944
09/01/2022;23:30;38,4;921
10/01/2022;14:00;38,5;1148
11/01/2022;13:30;37;1168
12/01/2022;14:00;37,8;1205
13/01/2022;13:30;38,4;1231
14/01/2022;15:00;37,1;1074
15/01/2022;14:00;36,3;1008
16/01/2022;01:00;33;847
17/01/2022;13:00;29;817
18/01/2022;13:00;15,8;742
19/01/2022;21:45;23,5;775
20/01/2022;21:30;31,6;822
21/01/2022;12:00;32,9;882
22/01/2022;13:00;34,1;847
23/01/2022;23:30;33,3;828
24/01/2022;22:00;32,9;907
25/01/2022;13:00;34;1003
26/01/2022;13:00;33,7;846
27/01/2022;21:15;26,4;727
28/01/2022;21:15;30,7;773
29/01/2022;21:30;34,6;810
30/01/2022;21:45;35,6;802
31/01/2022;21:15;31,6;809
01/02/2022;17:00;36,30;925
02/02/2022;16:00;32,70;880
03/02/2022;13:00;31,00;858
04/02/2022;21:30;29,90;784
05/02/2022;1:00;20,20;675
06/02/2022;21:30;28,80;666
07/02/2022;21:30;32,50;805
08/02/2022;21:15;35,40;877
09/02/2022;17:00;36,50;919
10/02/2022;13:00;34,90;920
11/02/2022;12:00;25,10;765
12/02/2022;21:30;26,20;707
13/02/2022;21:30;31,40;696
14/02/2022;21:30;35,50;854
15/02/2022;21:00;37,40;937
16/02/2022;21:00;33,60;914
17/02/2022;17:30;32,90;903
18/02/2022;17:30;35,10;934
19/02/2022;1:00;31,20;826
20/02/2022;21:45;31,30;750
21/02/2022;21:15;19,50;724
22/02/2022;21:45;22,40;730
23/02/2022;21:15;24,20;709
24/02/2022;21:15;26,80;730
25/02/2022;20:45;31,80;764
26/02/2022;20:45;34,50;812
27/02/2022;21:15;31,10;716
28/02/2022;21:30;30,40;734
01/03/2022;21:30;35,00;792
02/03/2022;21:00;31,90;860
03/03/2022;20:45;35,30;908
04/03/2022;21:00;32,50;885
05/03/2022;1:00;27,90;774
06/03/2022;21:15;28,60;736
07/03/2022;21:00;30,00;814
08/03/2022;21:00;31,90;865
09/03/2022;20:45;25,70;799
10/03/2022;21:15;27,70;815
11/03/2022;20:30;26,40;784
12/03/2022;20:45;30,90;763
13/03/2022;21:45;28,70;718
14/03/2022;20:30;34,90;814
15/03/2022;21:00;33,00;842
16/03/2022;20:45;35,00;862
17/03/2022;20:45;28,70;810
18/03/2022;20:45;25,50;773
19/03/2022;20:45;26,20;734
20/03/2022;21:45;26,00;708
21/03/2022;20:45;28,60;790
22/03/2022;21:00;29,40;811
23/03/2022;13:00;33,40;782
24/03/2022;21:30;23,50;753
25/03/2022;20:45;25,50;752
26/03/2022;20:45;29,20;730
27/03/2022;21:15;31,40;694
28/03/2022;20:30;32,50;800
29/03/2022;20:15;31,40;776
30/03/2022;20:15;18,70;774
31/03/2022;20:45;22,50;770
